Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-31,237.26940814996715,237.86838589936153,235.28234211783803,237.61167907714844,144299400,0.0,0
2019-01-02,233.86572027485073,238.83815830886795,233.8371989062456,237.85887145996094,126925200,0.0,0
2019-01-03,236.00491566295415,236.32818202713236,231.66949344258546,232.1829071044922,144140700,0.0,0
2019-01-04,235.39641469600494,240.64456378951934,234.99710105405273,239.96002197265625,142628800,0.0,0
2019-01-07,240.24527922517697,243.34472234916424,239.29452819860686,241.85205078125,103139100,0.0,0
2019-01-08,244.17189883474626,244.63775757832454,241.4907738310657,244.1243438720703,102512600,0.0,0
2019-01-09,244.8754321275533,246.15895181658428,243.57290786325015,245.26524353027344,95006600,0.0,0
2019-01-10,243.63943885541738,246.39661070704494,242.91685887506512,246.13040161132812,96823900,0.0,0
2019-01-11,244.98951590858934,246.25403101357443,244.37153354841593,246.2255096435547,73858100,0.0,0
2019-01-14,244.20986823766492,245.5789518884189,243.78204773093904,244.72328186035156,70908200,0.0,0
2019-01-15,245.12263150915862,247.86079905077406,245.1131147144139,247.5280303955078,85208300,0.0,0
2019-01-16,247.98434779398042,249.06821776147757,247.76569365341243,248.12698364257812,77636700,0.0,0
2019-01-17,247.20476256938466,250.92220224722033,247.15720761335044,250.00946044921875,96118400,0.0,0
2019-01-18,251.93000429158238,253.83150624528696,250.04750691215264,253.33709716796875,127900300,0.0,0
2019-01-22,251.77790644821846,252.00607742136165,248.2030731243341,249.91441345214844,115531200,0.0,0
2019-01-23,251.00777328037736,251.7493578775922,247.82275172280225,250.43731689453125,86030300,0.0,0
2019-01-24,250.24718268610263,251.18844598164637,249.17282932747023,250.5704345703125,59204100,0.0,0
2019-01-25,252.52895709908165,253.56530121339338,250.6750100731514,252.6905975341797,96883400,0.0,0
2019-01-28,250.41833783101822,250.83664160766068,248.8971303186656,250.77011108398438,85613700,0.0,0
2019-01-29,250.922209174693,251.5211579144835,249.55312545450917,250.43731689453125,66136300,0.0,0
2019-01-30,252.04410304403555,255.29565530797504,251.235958868215,254.40194702148438,92473700,0.0,0
2019-01-31,254.33545936159248,257.1496747514886,254.10725934673025,256.6362609863281,104012100,0.0,0
2019-02-01,256.8453297175454,257.8436354931332,255.92310025618406,256.759765625,85782500,0.0,0
2019-02-04,256.80732806433565,258.6327826752874,256.0942648438199,258.56622314453125,60744800,0.0,0
2019-02-05,259.02258635206186,259.97333728449064,258.49016815107103,259.65008544921875,79552800,0.0,0
2019-02-06,259.35535524840867,259.87825665593664,258.52820657868244,259.30780029296875,58347800,0.0,0
2019-02-07,257.5964044057721,258.17634842247986,255.07692078105615,256.8358154296875,95482000,0.0,0
2019-02-08,255.51427413534,257.25413531,254.63957064442906,257.1495666503906,75788900,0.0,0
2019-02-11,257.84371875076476,258.11941568867366,256.731327159259,257.2922668457031,68021400,0.0,0
2019-02-12,259.00357551378755,261.00012921190176,258.92749919284853,260.600830078125,72270200,0.0,0
2019-02-13,261.4850291283818,262.34069916903957,261.0381750272605,261.4469909667969,65277200,0.0,0
2019-02-14,260.29660902368636,262.0650209808281,259.4314221272646,260.8670654296875,83234400,0.0,0
2019-02-15,262.7495405253565,263.7478465148739,262.5308863579777,263.7098083496094,97088700,0.0,0
2019-02-19,262.86367436683105,264.86022846356633,262.8541575711598,264.16619873046875,59120800,0.0,0
2019-02-20,264.1281215027431,265.18347015445073,263.5957032870657,264.6985778808594,76610800,0.0,0
2019-02-21,264.0235638552891,264.4038584517166,262.7400442045559,263.7573547363281,64214700,0.0,0
2019-02-22,264.41336821395737,265.60180706073106,263.7383430730836,265.3926696777344,78114600,0.0,0
2019-02-25,266.90436648798334,267.4557893590124,265.6683726504161,265.7539367675781,69030700,0.0,0
2019-02-26,265.3831062265822,266.495468543416,265.16442307195814,265.5637512207031,56844100,0.0,0
2019-02-27,264.8031438173725,265.8204542961074,263.8143837211336,265.4496765136719,56921600,0.0,0
2019-02-28,265.22153142578134,265.6874192170216,264.6130657802622,264.955322265625,69268300,0.0,0
2019-03-01,266.6285931963899,267.04692592686274,265.08838133174703,266.6095886230469,78880500,0.0,0
2019-03-04,267.7314954113823,267.9881877437981,263.2059112313341,265.63983154296875,106494600,0.0,0
2019-03-05,265.77294302557476,265.98210940644395,264.69858975177465,265.2785339355469,59114600,0.0,0
2019-03-06,265.40212665325373,265.4116434476018,263.3294965085602,263.6717529296875,75039800,0.0,0
2019-03-07,263.1963479328876,263.34847155231375,260.5722952879735,261.46600341796875,94885100,0.0,0
2019-03-08,259.4979841380473,261.12376024824323,259.00360405592374,260.943115234375,85795800,0.0,0
2019-03-11,261.703730587863,264.8982400335801,261.675209218334,264.72711181640625,65098900,0.0,0
2019-03-12,265.31658684226727,266.2768546916093,265.116937244995,265.72540283203125,79667500,0.0,0
2019-03-13,266.6666819367753,268.4731032439262,266.49552468576127,267.48431396484375,80639200,0.0,0
2019-03-14,267.51275990439024,267.95961396093725,266.8472517234267,267.3131103515625,67518400,0.0,0
2019-03-15,267.8985272279665,269.49325863346974,267.6979691063212,268.6338195800781,81309000,1.233,0
2019-03-18,268.86299804892656,269.9229952337905,268.6242633573035,269.60784912109375,62199800,0.0,0
2019-03-19,270.7346490890048,271.54632357691173,268.7292722206886,269.6746520996094,90268100,0.0,0
2019-03-20,269.44553441192403,270.72514890259197,267.68845052283876,268.8630065917969,84609200,0.0,0
2019-03-21,267.99396311158125,272.3293630562809,267.9461986996231,271.899658203125,79550400,0.0,0
2019-03-22,270.45776464741743,271.0116163216791,266.5998037848138,266.6666564941406,122659300,0.0,0
2019-03-25,266.30377307292116,267.5642992574453,265.12921702397625,266.46612548828125,85575200,0.0,0
2019-03-26,268.3282153670473,269.4645947488133,266.9626600233844,268.4523620605469,68125900,0.0,0
2019-03-27,268.4428475882001,269.06358115799685,265.4061490229437,267.04864501953125,72224700,0.0,0
2019-03-28,267.7170576059572,268.5382908604324,266.4947372939468,268.0608215332031,56238500,0.0,0
2019-03-29,269.6651271377199,270.09483202529213,268.47145387933006,269.7510681152344,82186800,0.0,0
2019-04-01,271.87104755598756,273.26524983661915,271.58454847317387,272.9501037597656,77617900,0.0,0
2019-04-02,273.150715017929,273.3321557296297,272.2435114594254,273.0838623046875,40070400,0.0,0
2019-04-03,274.3730194024811,274.7931948003498,272.87375851201404,273.5135803222656,68243200,0.0,0
2019-04-04,273.8573491543882,274.50670054718586,273.1220567662867,274.23931884765625,48997500,0.0,0
2019-04-05,274.94603744950666,275.624035949412,274.6404499889432,275.5667419433594,58621700,0.0,0
